"full_name","ssphp_organisation","ssphp_repo"
"DFE-Digital/manage-teacher-training-applications-proto","DFE-Digital","manage-teacher-training-applications-proto"
"DFE-Digital/manage-teacher-training-applications-prototype","DFE-Digital","manage-teacher-training-applications-prototype"
"DFE-Digital/manage-teaching-jobs-prototype","DFE-Digital","manage-teaching-jobs-prototype"
"DFE-Digital/meeting-timer","DFE-Digital","meeting-timer"
"DFE-Digital/my-first-repo","DFE-Digital","my-first-repo"
"DFE-Digital/national-professional-qualification","DFE-Digital","national-professional-qualification"
"DFE-Digital/node-build-monitor","DFE-Digital","node-build-monitor"
"DFE-Digital/node-oidc-provider","DFE-Digital","node-oidc-provider"
"DFE-Digital/node-openid-client","DFE-Digital","node-openid-client"
"DFE-Digital/npd-find-and-explore","DFE-Digital","npd-find-and-explore"
"DFE-Digital/npd-find-and-explore-infra","DFE-Digital","npd-find-and-explore-infra"
"DFE-Digital/npd-modernisation","DFE-Digital","npd-modernisation"
"DFE-Digital/npq-prototype","DFE-Digital","npq-prototype"
"DFE-Digital/npq-registration","DFE-Digital","npq-registration"
"DFE-Digital/nrs-alpha-1-test-3","DFE-Digital","nrs-alpha-1-test-3"
"DFE-Digital/nrs-alpha-round-4","DFE-Digital","nrs-alpha-round-4"
"DFE-Digital/nrs-alpha-round-4-remote","DFE-Digital","nrs-alpha-round-4-remote"
"DFE-Digital/nrs-diagnostic-prototype","DFE-Digital","nrs-diagnostic-prototype"
"DFE-Digital/nrs-pre-private-beta","DFE-Digital","nrs-pre-private-beta"
"DFE-Digital/nrs-v1","DFE-Digital","nrs-v1"
"DFE-Digital/nrsproto2","DFE-Digital",nrsproto2
"DFE-Digital/onboarding-notes","DFE-Digital","onboarding-notes"
"DFE-Digital/open-api-rswag","DFE-Digital","open-api-rswag"
"DFE-Digital/operations-devops-deployment","DFE-Digital","operations-devops-deployment"
"DFE-Digital/paas-billing-exporter","DFE-Digital","paas-billing-exporter"
"DFE-Digital/pe-allocations-prototype","DFE-Digital","pe-allocations-prototype"
"DFE-Digital/plan-technology-for-your-school","DFE-Digital","plan-technology-for-your-school"
"DFE-Digital/polis-whitelabel","DFE-Digital","polis-whitelabel"
"DFE-Digital/pre-ab-conversions","DFE-Digital","pre-ab-conversions"
"DFE-Digital/pre-ab-transfers","DFE-Digital","pre-ab-transfers"
"DFE-Digital/prepare-academy-conversions","DFE-Digital","prepare-academy-conversions"
"DFE-Digital/prepare-academy-transfers","DFE-Digital","prepare-academy-transfers"
"DFE-Digital/prepare-spike-ad-roles","DFE-Digital","prepare-spike-ad-roles"
"DFE-Digital/presentation-merger","DFE-Digital","presentation-merger"
"DFE-Digital/prma-webform-prototype","DFE-Digital","prma-webform-prototype"
"DFE-Digital/prototype-request-manage-discovery-peer-review","DFE-Digital","prototype-request-manage-discovery-peer-review"
"DFE-Digital/publish-performance-dashboard-prototype","DFE-Digital","publish-performance-dashboard-prototype"
"DFE-Digital/publish-teacher-training","DFE-Digital","publish-teacher-training"
"DFE-Digital/publish-teacher-training-prototype","DFE-Digital","publish-teacher-training-prototype"
"DFE-Digital/qualifications-service-prototype","DFE-Digital","qualifications-service-prototype"
"DFE-Digital/qualified-teachers-api","DFE-Digital","qualified-teachers-api"
"DFE-Digital/rails-template","DFE-Digital","rails-template"
"DFE-Digital/rawgit","DFE-Digital",rawgit
"DFE-Digital/rba-prototype","DFE-Digital","rba-prototype"
"DFE-Digital/refer-serious-misconduct","DFE-Digital","refer-serious-misconduct"
"DFE-Digital/refer-serious-misconduct-by-a-teacher-prototype","DFE-Digital","refer-serious-misconduct-by-a-teacher-prototype"
"DFE-Digital/refer-serious-misconduct-dataform","DFE-Digital","refer-serious-misconduct-dataform"
"DFE-Digital/register-of-services-prototype","DFE-Digital","register-of-services-prototype"
"DFE-Digital/register-tech-spikes","DFE-Digital","register-tech-spikes"
"DFE-Digital/register-trainee-teachers","DFE-Digital","register-trainee-teachers"
"DFE-Digital/register-trainee-teachers-prototype","DFE-Digital","register-trainee-teachers-prototype"
"DFE-Digital/remote-education-review-framework-prototype","DFE-Digital","remote-education-review-framework-prototype"
"DFE-Digital/res-design-history","DFE-Digital","res-design-history"
"DFE-Digital/right-to-teach-prototype","DFE-Digital","right-to-teach-prototype"
"DFE-Digital/rollover-allocations-prototype","DFE-Digital","rollover-allocations-prototype"
"DFE-Digital/rsd-academies-db-migration","DFE-Digital","rsd-academies-db-migration"
"DFE-Digital/rsd-azure-front-door-waf","DFE-Digital","rsd-azure-front-door-waf"
"DFE-Digital/rsd-azure-slack-workflow","DFE-Digital","rsd-azure-slack-workflow"
"DFE-Digital/rspec-retry","DFE-Digital","rspec-retry"
"DFE-Digital/ruby-technical-test","DFE-Digital","ruby-technical-test"
"DFE-Digital/samling","DFE-Digital",samling
"DFE-Digital/samljs-serverless-sample","DFE-Digital","samljs-serverless-sample"
"DFE-Digital/schema-explorer","DFE-Digital","schema-explorer"
"DFE-Digital/school-account","DFE-Digital","school-account"
"DFE-Digital/school-account-prototype","DFE-Digital","school-account-prototype"
"DFE-Digital/school-account.ui-tests","DFE-Digital","school-account.ui-tests"
"DFE-Digital/school-experience-beta","DFE-Digital","school-experience-beta"
"DFE-Digital/school-experience-devops","DFE-Digital","school-experience-devops"
"DFE-Digital/school-experience-env-dashboard","DFE-Digital","school-experience-env-dashboard"
"DFE-Digital/school-experience-redirect","DFE-Digital","school-experience-redirect"
"DFE-Digital/school-leaders-user-experience-prototype","DFE-Digital","school-leaders-user-experience-prototype"
"DFE-Digital/school-placements-alpha-prototype","DFE-Digital","school-placements-alpha-prototype"
"DFE-Digital/schools-commerical-team-upptime","DFE-Digital","schools-commerical-team-upptime"
"DFE-Digital/schools-experience","DFE-Digital","schools-experience"
"DFE-Digital/schools-experience-tests","DFE-Digital","schools-experience-tests"
"DFE-Digital/sdd-a2b-internal-service-prototype","DFE-Digital","sdd-a2b-internal-service-prototype"
"DFE-Digital/sdd-concerns-prototype","DFE-Digital","sdd-concerns-prototype"
"DFE-Digital/sdd-design-history","DFE-Digital","sdd-design-history"
"DFE-Digital/sdd-services-prototype","DFE-Digital","sdd-services-prototype"
"DFE-Digital/sdd-technical-documentation","DFE-Digital","sdd-technical-documentation"
"DFE-Digital/search-and-compare-language-prototype","DFE-Digital","search-and-compare-language-prototype"
"DFE-Digital/send-data-dev-hub-prototype","DFE-Digital","send-data-dev-hub-prototype"
"DFE-Digital/send-data-developer-hub-prototype","DFE-Digital","send-data-developer-hub-prototype"
"DFE-Digital/send-data-ur-surveys","DFE-Digital","send-data-ur-surveys"
"DFE-Digital/seo-developer-tech-test","DFE-Digital","seo-developer-tech-test"
"DFE-Digital/service-manual-drafts","DFE-Digital","service-manual-drafts"
"DFE-Digital/service-manual-gone","DFE-Digital","service-manual-gone"
"DFE-Digital/service-security-posture-hardening","DFE-Digital","service-security-posture-hardening"
"DFE-Digital/shoryuken","DFE-Digital",shoryuken
"DFE-Digital/simplecov-resultset-diff-action","DFE-Digital","simplecov-resultset-diff-action"
"DFE-Digital/single-place-for-education-frontend","DFE-Digital","single-place-for-education-frontend"
"DFE-Digital/single-place-for-education-govuk-prototype","DFE-Digital","single-place-for-education-govuk-prototype"
"DFE-Digital/single-starting-point-prototype","DFE-Digital","single-starting-point-prototype"
"DFE-Digital/slack-incident-bot","DFE-Digital","slack-incident-bot"
"DFE-Digital/spi-common","DFE-Digital","spi-common"
"DFE-Digital/spi-entitysquasher","DFE-Digital","spi-entitysquasher"
"DFE-Digital/spi-event-broker","DFE-Digital","spi-event-broker"
"DFE-Digital/spi-gias-adapter","DFE-Digital","spi-gias-adapter"
"DFE-Digital/spi-graphql-api","DFE-Digital","spi-graphql-api"
"DFE-Digital/spi-istore-adapter","DFE-Digital","spi-istore-adapter"
"DFE-Digital/spi-models","DFE-Digital","spi-models"
"DFE-Digital/spi-rates-adapter","DFE-Digital","spi-rates-adapter"
"DFE-Digital/spi-registry","DFE-Digital","spi-registry"
"DFE-Digital/spi-tools","DFE-Digital","spi-tools"
"DFE-Digital/spi-translation","DFE-Digital","spi-translation"
"DFE-Digital/spi-ukrlp-adapter","DFE-Digital","spi-ukrlp-adapter"
"DFE-Digital/standards-manual-design-history","DFE-Digital","standards-manual-design-history"
"DFE-Digital/standardsv2","DFE-Digital",standardsv2
"DFE-Digital/sts-digital-strategy-design-history","DFE-Digital","sts-digital-strategy-design-history"
"DFE-Digital/support-for-ects","DFE-Digital","support-for-ects"
"DFE-Digital/support-for-mentors","DFE-Digital","support-for-mentors"
"DFE-Digital/support-for-publish-prototype","DFE-Digital","support-for-publish-prototype"
"DFE-Digital/sw-career-development","DFE-Digital","sw-career-development"
"DFE-Digital/teach-in-further-education-design-history","DFE-Digital","teach-in-further-education-design-history"
"DFE-Digital/teacher-cpd-design-history","DFE-Digital","teacher-cpd-design-history"
"DFE-Digital/teacher-misconduct-prototype","DFE-Digital","teacher-misconduct-prototype"
"DFE-Digital/teacher-misconduct-system","DFE-Digital","teacher-misconduct-system"
"DFE-Digital/teacher-payments-service-verify","DFE-Digital","teacher-payments-service-verify"
"DFE-Digital/teacher-self-service-prototype","DFE-Digital","teacher-self-service-prototype"
"DFE-Digital/teacher-services-architectural-diagrams","DFE-Digital","teacher-services-architectural-diagrams"
"DFE-Digital/teacher-services-cloud","DFE-Digital","teacher-services-cloud"
"DFE-Digital/teacher-services-data-transformation","DFE-Digital","teacher-services-data-transformation"
"DFE-Digital/teacher-services-hedgedoc","DFE-Digital","teacher-services-hedgedoc"
"DFE-Digital/teacher-services-landing-page-prototype","DFE-Digital","teacher-services-landing-page-prototype"
"DFE-Digital/teacher-services-tech-docs","DFE-Digital","teacher-services-tech-docs"
"DFE-Digital/teacher-services-upptime","DFE-Digital","teacher-services-upptime"
"DFE-Digital/teaching-vacancies","DFE-Digital","teaching-vacancies"
"DFE-Digital/teaching-vacancies-design-history","DFE-Digital","teaching-vacancies-design-history"
"DFE-Digital/teaching-vacancies-prototype","DFE-Digital","teaching-vacancies-prototype"
"DFE-Digital/teaching-vacancies-slackbot","DFE-Digital","teaching-vacancies-slackbot"
"DFE-Digital/tech-docs-gem","DFE-Digital","tech-docs-gem"
"DFE-Digital/tech-docs-monitor","DFE-Digital","tech-docs-monitor"
"DFE-Digital/tech-docs-sandbox","DFE-Digital","tech-docs-sandbox"
"DFE-Digital/technical-guidance","DFE-Digital","technical-guidance"
"DFE-Digital/terraform-azurerm-container-apps-hosting","DFE-Digital","terraform-azurerm-container-apps-hosting"
"DFE-Digital/terraform-azurerm-front-door-app-gateway-waf","DFE-Digital","terraform-azurerm-front-door-app-gateway-waf"
"DFE-Digital/terraform-azurerm-key-vault-tfvars","DFE-Digital","terraform-azurerm-key-vault-tfvars"
"DFE-Digital/terraform-azurerm-logic-app-workflow-slack","DFE-Digital","terraform-azurerm-logic-app-workflow-slack"
"DFE-Digital/terraform-azurerm-web-app-services-hosting","DFE-Digital","terraform-azurerm-web-app-services-hosting"
"DFE-Digital/terraform-modules","DFE-Digital","terraform-modules"
"DFE-Digital/tra-digital-design-history","DFE-Digital","tra-digital-design-history"
"DFE-Digital/tra-dqt-automation","DFE-Digital","tra-dqt-automation"
"DFE-Digital/tra-paas-monitoring","DFE-Digital","tra-paas-monitoring"
"DFE-Digital/tra-shared-services","DFE-Digital","tra-shared-services"
"DFE-Digital/tra-trn-generation-api","DFE-Digital","tra-trn-generation-api"
"DFE-Digital/tslr","DFE-Digital",tslr
"DFE-Digital/tuition_parser","DFE-Digital","tuition_parser"
"DFE-Digital/twd-workforce-data-api","DFE-Digital","twd-workforce-data-api"
"DFE-Digital/user-research","DFE-Digital","user-research"
"DFE-Digital/user-research-manual","DFE-Digital","user-research-manual"
"DFE-Digital/vcf-sw-assessment-accreditation-premigration","DFE-Digital","vcf-sw-assessment-accreditation-premigration"
"DFE-Digital/vcf-sw-assessment-accreditation-prototype","DFE-Digital","vcf-sw-assessment-accreditation-prototype"
"DFE-Digital/vcf-sw-career-development-design-history","DFE-Digital","vcf-sw-career-development-design-history"
"DFE-Digital/vcf-sw-career-development-prototype","DFE-Digital","vcf-sw-career-development-prototype"
"DFE-Digital/version-control-for-content-designers","DFE-Digital","version-control-for-content-designers"
"DFE-Digital/wizard_steps","DFE-Digital","wizard_steps"
"DFE-Digital/yabeda-delayed_job","DFE-Digital","yabeda-delayed_job"
"DFEAGILEDEVOPS/ACDPP",DFEAGILEDEVOPS,ACDPP
"DFEAGILEDEVOPS/Lucene.Net.Linq",DFEAGILEDEVOPS,"Lucene.Net.Linq"
"DFEAGILEDEVOPS/MTC",DFEAGILEDEVOPS,MTC
"DFEAGILEDEVOPS/SFB.EF.UI",DFEAGILEDEVOPS,"SFB.EF.UI"
"DFEAGILEDEVOPS/SFB.SAD.UI",DFEAGILEDEVOPS,"SFB.SAD.UI"
"DFEAGILEDEVOPS/SFB.Web.API",DFEAGILEDEVOPS,"SFB.Web.API"
"DFEAGILEDEVOPS/SFB.Web.ApplicationCore",DFEAGILEDEVOPS,"SFB.Web.ApplicationCore"
"DFEAGILEDEVOPS/SFB.Web.Infrastructure",DFEAGILEDEVOPS,"SFB.Web.Infrastructure"
"DFEAGILEDEVOPS/Schools.Financial.Benchmarking",DFEAGILEDEVOPS,"Schools.Financial.Benchmarking"
"DFEAGILEDEVOPS/SimplePaaS",DFEAGILEDEVOPS,SimplePaaS
"DFEAGILEDEVOPS/SimplePaaSSprint0",DFEAGILEDEVOPS,SimplePaaSSprint0
"DFEAGILEDEVOPS/SimplePaaSSprint2",DFEAGILEDEVOPS,SimplePaaSSprint2
"DFEAGILEDEVOPS/cloud-platform-docs",DFEAGILEDEVOPS,"cloud-platform-docs"
"DFEAGILEDEVOPS/dfe-platform-tool",DFEAGILEDEVOPS,"dfe-platform-tool"
"DFEAGILEDEVOPS/express-breadcrumbs",DFEAGILEDEVOPS,"express-breadcrumbs"
"DFEAGILEDEVOPS/govuk-blank",DFEAGILEDEVOPS,"govuk-blank"
"DFEAGILEDEVOPS/govuk-styleguide-theme",DFEAGILEDEVOPS,"govuk-styleguide-theme"
"DFEAGILEDEVOPS/less-tedious",DFEAGILEDEVOPS,"less-tedious"
"DFEAGILEDEVOPS/mtc-test-automated-release",DFEAGILEDEVOPS,"mtc-test-automated-release"
"DFEAGILEDEVOPS/node-sql-migrations",DFEAGILEDEVOPS,"node-sql-migrations"
"DFEAGILEDEVOPS/os-infrastructure",DFEAGILEDEVOPS,"os-infrastructure"
"DFEAGILEDEVOPS/s2i-rshiny",DFEAGILEDEVOPS,"s2i-rshiny"
"DFEAGILEDEVOPS/sfb-fibre",DFEAGILEDEVOPS,"sfb-fibre"
"DFEAGILEDEVOPS/typeahead.js",DFEAGILEDEVOPS,"typeahead.js"
"SkillsFundingAgency/Allocation-Profiling",SkillsFundingAgency,"Allocation-Profiling"
"SkillsFundingAgency/CFS-Backend",SkillsFundingAgency,"CFS-Backend"
"SkillsFundingAgency/CFS-Frontend",SkillsFundingAgency,"CFS-Frontend"
"SkillsFundingAgency/CFS-Prototype",SkillsFundingAgency,"CFS-Prototype"
"SkillsFundingAgency/CX-team-master",SkillsFundingAgency,"CX-team-master"
"SkillsFundingAgency/CalculateFunding-Common",SkillsFundingAgency,"CalculateFunding-Common"
"SkillsFundingAgency/CalculateFunding-Frontend-Testing",SkillsFundingAgency,"CalculateFunding-Frontend-Testing"
"SkillsFundingAgency/CalculateFunding-SpecGenerator",SkillsFundingAgency,"CalculateFunding-SpecGenerator"
"SkillsFundingAgency/CalculateFunding-Support",SkillsFundingAgency,"CalculateFunding-Support"
"SkillsFundingAgency/DC-2021-FRM-ReportService",SkillsFundingAgency,"DC-2021-FRM-ReportService"
"SkillsFundingAgency/DC-2021-PeriodEnd-ReportService",SkillsFundingAgency,"DC-2021-PeriodEnd-ReportService"
"SkillsFundingAgency/DC-Admin-WebUi",SkillsFundingAgency,"DC-Admin-WebUi"
"SkillsFundingAgency/DC-AdminQueueMonitor",SkillsFundingAgency,"DC-AdminQueueMonitor"
"SkillsFundingAgency/DC-Alpha-AzureSearch-POC",SkillsFundingAgency,"DC-Alpha-AzureSearch-POC"
"SkillsFundingAgency/DC-Alpha-Azurefunctions-POC",SkillsFundingAgency,"DC-Alpha-Azurefunctions-POC"
"SkillsFundingAgency/DC-Alpha-EasyWrapperPaaS",SkillsFundingAgency,"DC-Alpha-EasyWrapperPaaS"
"SkillsFundingAgency/DC-Alpha-ILR-Processing-SF-POC",SkillsFundingAgency,"DC-Alpha-ILR-Processing-SF-POC"
"SkillsFundingAgency/DC-Alpha-ILRSubmission-Web",SkillsFundingAgency,"DC-Alpha-ILRSubmission-Web"
"SkillsFundingAgency/DC-Alpha-ValidationService-POC",SkillsFundingAgency,"DC-Alpha-ValidationService-POC"
"SkillsFundingAgency/DC-Alpha-WebUI",SkillsFundingAgency,"DC-Alpha-WebUI"
"SkillsFundingAgency/DC-Auditing",SkillsFundingAgency,"DC-Auditing"
"SkillsFundingAgency/DC-Auditing-Service",SkillsFundingAgency,"DC-Auditing-Service"
"SkillsFundingAgency/DC-CollectionsManagement",SkillsFundingAgency,"DC-CollectionsManagement"
"SkillsFundingAgency/DC-CollectionsManagement-Model",SkillsFundingAgency,"DC-CollectionsManagement-Model"
"SkillsFundingAgency/DC-CollectionsManagement-WebApi",SkillsFundingAgency,"DC-CollectionsManagement-WebApi"
"SkillsFundingAgency/DC-CrossLoad",SkillsFundingAgency,"DC-CrossLoad"
"SkillsFundingAgency/DC-CrossLoad-Service",SkillsFundingAgency,"DC-CrossLoad-Service"
"SkillsFundingAgency/DC-Data-ApprenticeshipsEarningsHistory",SkillsFundingAgency,"DC-Data-ApprenticeshipsEarningsHistory"
"SkillsFundingAgency/DC-Data-DasCommitments",SkillsFundingAgency,"DC-Data-DasCommitments"
"SkillsFundingAgency/DC-Data-EDRS",SkillsFundingAgency,"DC-Data-EDRS"
"SkillsFundingAgency/DC-Data-ILR-1819-ValidationErrors",SkillsFundingAgency,"DC-Data-ILR-1819-ValidationErrors"
"SkillsFundingAgency/DC-Data-LARS",SkillsFundingAgency,"DC-Data-LARS"
"SkillsFundingAgency/DC-Data-LargeEmployer",SkillsFundingAgency,"DC-Data-LargeEmployer"
"SkillsFundingAgency/DC-Data-Organisations",SkillsFundingAgency,"DC-Data-Organisations"
"SkillsFundingAgency/DC-Data-Postcodes",SkillsFundingAgency,"DC-Data-Postcodes"
"SkillsFundingAgency/DC-Data-ULN",SkillsFundingAgency,"DC-Data-ULN"
"SkillsFundingAgency/DC-DataMatch-ReportService",SkillsFundingAgency,"DC-DataMatch-ReportService"
"SkillsFundingAgency/DC-DatabaseTesting",SkillsFundingAgency,"DC-DatabaseTesting"
"SkillsFundingAgency/DC-DateTime-Provider",SkillsFundingAgency,"DC-DateTime-Provider"
"SkillsFundingAgency/DC-EAS-1819",SkillsFundingAgency,"DC-EAS-1819"
"SkillsFundingAgency/DC-EAS-2021",SkillsFundingAgency,"DC-EAS-2021"
"SkillsFundingAgency/DC-ESF",SkillsFundingAgency,"DC-ESF"
"SkillsFundingAgency/DC-ESF-R2",SkillsFundingAgency,"DC-ESF-R2"
"SkillsFundingAgency/DC-Failed-Jobs-Service",SkillsFundingAgency,"DC-Failed-Jobs-Service"
"SkillsFundingAgency/DC-FundingClaims",SkillsFundingAgency,"DC-FundingClaims"
"SkillsFundingAgency/DC-ILR-1617-Database",SkillsFundingAgency,"DC-ILR-1617-Database"
"SkillsFundingAgency/DC-ILR-1718-Database",SkillsFundingAgency,"DC-ILR-1718-Database"
"SkillsFundingAgency/DC-ILR-1718-FileValidationService",SkillsFundingAgency,"DC-ILR-1718-FileValidationService"
"SkillsFundingAgency/DC-ILR-1718-FundingService-ALB",SkillsFundingAgency,"DC-ILR-1718-FundingService-ALB"
"SkillsFundingAgency/DC-ILR-1718-Model",SkillsFundingAgency,"DC-ILR-1718-Model"
"SkillsFundingAgency/DC-ILR-1718-ValidationService",SkillsFundingAgency,"DC-ILR-1718-ValidationService"
"SkillsFundingAgency/DC-ILR-1819",SkillsFundingAgency,"DC-ILR-1819"
"SkillsFundingAgency/DC-ILR-1819-DataStore",SkillsFundingAgency,"DC-ILR-1819-DataStore"
"SkillsFundingAgency/DC-ILR-1819-Database",SkillsFundingAgency,"DC-ILR-1819-Database"
"SkillsFundingAgency/DC-ILR-1819-FileValidationService",SkillsFundingAgency,"DC-ILR-1819-FileValidationService"
"SkillsFundingAgency/DC-ILR-1819-FundingService-ALB",SkillsFundingAgency,"DC-ILR-1819-FundingService-ALB"
"SkillsFundingAgency/DC-ILR-1819-FundingService-FM35",SkillsFundingAgency,"DC-ILR-1819-FundingService-FM35"
"SkillsFundingAgency/DC-ILR-1819-FundingService-SF",SkillsFundingAgency,"DC-ILR-1819-FundingService-SF"
"SkillsFundingAgency/DC-ILR-1819-Model",SkillsFundingAgency,"DC-ILR-1819-Model"
"SkillsFundingAgency/DC-ILR-1819-ReportService",SkillsFundingAgency,"DC-ILR-1819-ReportService"
"SkillsFundingAgency/DC-ILR-1819-Test-Data-Generation",SkillsFundingAgency,"DC-ILR-1819-Test-Data-Generation"
"SkillsFundingAgency/DC-ILR-1819-ValidationService",SkillsFundingAgency,"DC-ILR-1819-ValidationService"
"SkillsFundingAgency/DC-ILR-2021",SkillsFundingAgency,"DC-ILR-2021"
"SkillsFundingAgency/DC-ILR-2021-AmalgamationService",SkillsFundingAgency,"DC-ILR-2021-AmalgamationService"
"SkillsFundingAgency/DC-ILR-2021-DataStore",SkillsFundingAgency,"DC-ILR-2021-DataStore"
"SkillsFundingAgency/DC-ILR-2021-Desktop",SkillsFundingAgency,"DC-ILR-2021-Desktop"
"SkillsFundingAgency/DC-ILR-2021-FundingService",SkillsFundingAgency,"DC-ILR-2021-FundingService"
"SkillsFundingAgency/DC-ILR-2021-LearnerEntryTool",SkillsFundingAgency,"DC-ILR-2021-LearnerEntryTool"
"SkillsFundingAgency/DC-ILR-2021-ReferenceDataService",SkillsFundingAgency,"DC-ILR-2021-ReferenceDataService"
"SkillsFundingAgency/DC-ILR-2021-Tools",SkillsFundingAgency,"DC-ILR-2021-Tools"
"SkillsFundingAgency/DC-ILR-2021-ValidationService",SkillsFundingAgency,"DC-ILR-2021-ValidationService"
"SkillsFundingAgency/DC-ILR-FundingService-Dtos",SkillsFundingAgency,"DC-ILR-FundingService-Dtos"
"SkillsFundingAgency/DC-ILR-ValidationErrorReport-Model",SkillsFundingAgency,"DC-ILR-ValidationErrorReport-Model"
"SkillsFundingAgency/DC-ILR-ValidationErrors",SkillsFundingAgency,"DC-ILR-ValidationErrors"
"SkillsFundingAgency/DC-ILRLegacy-DataStore",SkillsFundingAgency,"DC-ILRLegacy-DataStore"
"SkillsFundingAgency/DC-IO",SkillsFundingAgency,"DC-IO"
"SkillsFundingAgency/DC-Job-Management",SkillsFundingAgency,"DC-Job-Management"
"SkillsFundingAgency/DC-Job-Model",SkillsFundingAgency,"DC-Job-Model"
"SkillsFundingAgency/DC-Job-WebApi",SkillsFundingAgency,"DC-Job-WebApi"
"SkillsFundingAgency/DC-JobContext",SkillsFundingAgency,"DC-JobContext"
"SkillsFundingAgency/DC-JobContextManager",SkillsFundingAgency,"DC-JobContextManager"
"SkillsFundingAgency/DC-JobQueueManager",SkillsFundingAgency,"DC-JobQueueManager"
"SkillsFundingAgency/DC-JobScheduler",SkillsFundingAgency,"DC-JobScheduler"
"SkillsFundingAgency/DC-JobStatus",SkillsFundingAgency,"DC-JobStatus"
"SkillsFundingAgency/DC-JobStatus-Service",SkillsFundingAgency,"DC-JobStatus-Service"
"SkillsFundingAgency/DC-KeyGenerator",SkillsFundingAgency,"DC-KeyGenerator"
"SkillsFundingAgency/DC-LARS",SkillsFundingAgency,"DC-LARS"
"SkillsFundingAgency/DC-Logging",SkillsFundingAgency,"DC-Logging"
"SkillsFundingAgency/DC-Mapping",SkillsFundingAgency,"DC-Mapping"
"SkillsFundingAgency/DC-NCS",SkillsFundingAgency,"DC-NCS"
"SkillsFundingAgency/DC-OPA",SkillsFundingAgency,"DC-OPA"
"SkillsFundingAgency/DC-OPA-Model",SkillsFundingAgency,"DC-OPA-Model"
"SkillsFundingAgency/DC-OPA-Service",SkillsFundingAgency,"DC-OPA-Service"
"SkillsFundingAgency/DC-OPA-XSRC-Model",SkillsFundingAgency,"DC-OPA-XSRC-Model"
"SkillsFundingAgency/DC-OPA-XSRC-Service",SkillsFundingAgency,"DC-OPA-XSRC-Service"
"SkillsFundingAgency/DC-Operations-Reports",SkillsFundingAgency,"DC-Operations-Reports"
"SkillsFundingAgency/DC-Prototype-Web-UI",SkillsFundingAgency,"DC-Prototype-Web-UI"
"SkillsFundingAgency/DC-Queueing",SkillsFundingAgency,"DC-Queueing"
"SkillsFundingAgency/DC-ReferenceData",SkillsFundingAgency,"DC-ReferenceData"
"SkillsFundingAgency/DC-ReportData-2021-Database",SkillsFundingAgency,"DC-ReportData-2021-Database"
"SkillsFundingAgency/DC-Serialization",SkillsFundingAgency,"DC-Serialization"
"SkillsFundingAgency/DC-ServiceFabric-Helpers",SkillsFundingAgency,"DC-ServiceFabric-Helpers"
"SkillsFundingAgency/DC-Shared-Packages",SkillsFundingAgency,"DC-Shared-Packages"
"SkillsFundingAgency/DC-SubmitLearnerData-API-EAS",SkillsFundingAgency,"DC-SubmitLearnerData-API-EAS"
"SkillsFundingAgency/DC-SubmitLearnerData-API-LearnerData",SkillsFundingAgency,"DC-SubmitLearnerData-API-LearnerData"
"SkillsFundingAgency/DC-SubmitLearnerData-API-Public",SkillsFundingAgency,"DC-SubmitLearnerData-API-Public"
"SkillsFundingAgency/DC-SubmitLearnerData-API-SummarisedActuals",SkillsFundingAgency,"DC-SubmitLearnerData-API-SummarisedActuals"
"SkillsFundingAgency/DC-Summarisation",SkillsFundingAgency,"DC-Summarisation"
"SkillsFundingAgency/DC-Summarisation-ReportService",SkillsFundingAgency,"DC-Summarisation-ReportService"
"SkillsFundingAgency/DC-Tools",SkillsFundingAgency,"DC-Tools"
"SkillsFundingAgency/DC-Web-Operations",SkillsFundingAgency,"DC-Web-Operations"
"SkillsFundingAgency/DC-WebUI",SkillsFundingAgency,"DC-WebUI"
"SkillsFundingAgency/DS-DocumentationServicePrototype-Public",SkillsFundingAgency,"DS-DocumentationServicePrototype-Public"
"SkillsFundingAgency/ESFA-CFS-Prototype",SkillsFundingAgency,"ESFA-CFS-Prototype"
"SkillsFundingAgency/FE-Workforce-StaffEntryTool",SkillsFundingAgency,"FE-Workforce-StaffEntryTool"
"SkillsFundingAgency/GAG-Prototype",SkillsFundingAgency,"GAG-Prototype"
"SkillsFundingAgency/ILR-Learner-Entry",SkillsFundingAgency,"ILR-Learner-Entry"
"SkillsFundingAgency/Information-Exchange",SkillsFundingAgency,"Information-Exchange"
"SkillsFundingAgency/OrchardCore",SkillsFundingAgency,OrchardCore
"SkillsFundingAgency/VstsTools",SkillsFundingAgency,VstsTools
"SkillsFundingAgency/azure-functions-dotnet-extensions",SkillsFundingAgency,"azure-functions-dotnet-extensions"
"SkillsFundingAgency/das-aan-employer-prototype",SkillsFundingAgency,"das-aan-employer-prototype"
"SkillsFundingAgency/das-aan-hub-api",SkillsFundingAgency,"das-aan-hub-api"
"SkillsFundingAgency/das-aan-hub-jobs",SkillsFundingAgency,"das-aan-hub-jobs"
"SkillsFundingAgency/das-aan-prototype",SkillsFundingAgency,"das-aan-prototype"
"SkillsFundingAgency/das-admin-service",SkillsFundingAgency,"das-admin-service"
"SkillsFundingAgency/das-alpha-hmrc-api-mock",SkillsFundingAgency,"das-alpha-hmrc-api-mock"
"SkillsFundingAgency/das-alpha-taxservice-mock",SkillsFundingAgency,"das-alpha-taxservice-mock"
