"full_name","ssphp_organisation","ssphp_repo"
"DFE-Digital/content-design-ddat-framework-prototype","DFE-Digital","content-design-ddat-framework-prototype"
"DFE-Digital/content-design-framework","DFE-Digital","content-design-framework"
"DFE-Digital/content-designer-training","DFE-Digital","content-designer-training"
"DFE-Digital/conversions-design-history","DFE-Digital","conversions-design-history"
"DFE-Digital/covid-content-external-link-checker","DFE-Digital","covid-content-external-link-checker"
"DFE-Digital/cpd-adr","DFE-Digital","cpd-adr"
"DFE-Digital/cpd-ecf-ucd-prototype","DFE-Digital","cpd-ecf-ucd-prototype"
"DFE-Digital/cpd-ecf-ucd-prototype-2","DFE-Digital","cpd-ecf-ucd-prototype-2"
"DFE-Digital/cpd-lpdob-prototype","DFE-Digital","cpd-lpdob-prototype"
"DFE-Digital/cpd-service-manual","DFE-Digital","cpd-service-manual"
"DFE-Digital/csc-placement-prototype","DFE-Digital","csc-placement-prototype"
"DFE-Digital/csc-swr-architecture","DFE-Digital","csc-swr-architecture"
"DFE-Digital/csc-swr-prototype","DFE-Digital","csc-swr-prototype"
"DFE-Digital/csc-swr-ur-prototype","DFE-Digital","csc-swr-ur-prototype"
"DFE-Digital/csc-tech-docs-publisher","DFE-Digital","csc-tech-docs-publisher"
"DFE-Digital/curriculum-materials-prototype","DFE-Digital","curriculum-materials-prototype"
"DFE-Digital/custom-err-msg","DFE-Digital","custom-err-msg"
"DFE-Digital/das-fjaa-prototype","DFE-Digital","das-fjaa-prototype"
"DFE-Digital/das-ufab-prototype","DFE-Digital","das-ufab-prototype"
"DFE-Digital/data-allowances-prototype","DFE-Digital","data-allowances-prototype"
"DFE-Digital/data-exchange-helpdesk-prototype","DFE-Digital","data-exchange-helpdesk-prototype"
"DFE-Digital/data-infrastructure-and-reporting","DFE-Digital","data-infrastructure-and-reporting"
"DFE-Digital/database-of-qualified-teachers","DFE-Digital","database-of-qualified-teachers"
"DFE-Digital/delivery-management","DFE-Digital","delivery-management"
"DFE-Digital/deprecated-login.dfe.saml-proxy","DFE-Digital","deprecated-login.dfe.saml-proxy"
"DFE-Digital/design","DFE-Digital",design
"DFE-Digital/design-histories-asset-repo","DFE-Digital","design-histories-asset-repo"
"DFE-Digital/design-histories-cms-strapi","DFE-Digital","design-histories-cms-strapi"
"DFE-Digital/design-histories-frontend","DFE-Digital","design-histories-frontend"
"DFE-Digital/design-history","DFE-Digital","design-history"
"DFE-Digital/design-history-cms","DFE-Digital","design-history-cms"
"DFE-Digital/design-manual-design-history","DFE-Digital","design-manual-design-history"
"DFE-Digital/dfe-academic-year-research","DFE-Digital","dfe-academic-year-research"
"DFE-Digital/dfe-analytics","DFE-Digital","dfe-analytics"
"DFE-Digital/dfe-analytics-dataform","DFE-Digital","dfe-analytics-dataform"
"DFE-Digital/dfe-analytics-dotnet","DFE-Digital","dfe-analytics-dotnet"
"DFE-Digital/dfe-apad","DFE-Digital","dfe-apad"
"DFE-Digital/dfe-autocomplete","DFE-Digital","dfe-autocomplete"
"DFE-Digital/dfe-complete-conversions-transfers-and-changes","DFE-Digital","dfe-complete-conversions-transfers-and-changes"
"DFE-Digital/dfe-covid-content-prototype","DFE-Digital","dfe-covid-content-prototype"
"DFE-Digital/dfe-cs-templates","DFE-Digital","dfe-cs-templates"
"DFE-Digital/dfe-data-provider-hub","DFE-Digital","dfe-data-provider-hub"
"DFE-Digital/dfe-design-documentation","DFE-Digital","dfe-design-documentation"
"DFE-Digital/dfe-design-histories-frontend","DFE-Digital","dfe-design-histories-frontend"
"DFE-Digital/dfe-digital.github.io","DFE-Digital","dfe-digital.github.io"
"DFE-Digital/dfe-gds-ui-components","DFE-Digital","dfe-gds-ui-components"
"DFE-Digital/dfe-glossary","DFE-Digital","dfe-glossary"
"DFE-Digital/dfe-identity-account-prototype","DFE-Digital","dfe-identity-account-prototype"
"DFE-Digital/dfe-info-sharing-prototype","DFE-Digital","dfe-info-sharing-prototype"
"DFE-Digital/dfe-job-descriptions","DFE-Digital","dfe-job-descriptions"
"DFE-Digital/dfe-mps-prototype","DFE-Digital","dfe-mps-prototype"
"DFE-Digital/dfe-reference-data","DFE-Digital","dfe-reference-data"
"DFE-Digital/dfe-standards-manual-prototype","DFE-Digital","dfe-standards-manual-prototype"
"DFE-Digital/dfe.ui.toolkit","DFE-Digital","dfe.ui.toolkit"
"DFE-Digital/digital-tools","DFE-Digital","digital-tools"
"DFE-Digital/eapim-b2cpolicies","DFE-Digital","eapim-b2cpolicies"
"DFE-Digital/eapim-backuprestore","DFE-Digital","eapim-backuprestore"
"DFE-Digital/eapim-developer-hub","DFE-Digital","eapim-developer-hub"
"DFE-Digital/eapim-developerhub-maintenance","DFE-Digital","eapim-developerhub-maintenance"
"DFE-Digital/eapim-infrastructure","DFE-Digital","eapim-infrastructure"
"DFE-Digital/eapim-platform-api","DFE-Digital","eapim-platform-api"
"DFE-Digital/early-career-framework","DFE-Digital","early-career-framework"
"DFE-Digital/early-career-framework-beta-prototype","DFE-Digital","early-career-framework-beta-prototype"
"DFE-Digital/early-career-framework-prototype","DFE-Digital","early-career-framework-prototype"
"DFE-Digital/early-career-framework-register-prototype","DFE-Digital","early-career-framework-register-prototype"
"DFE-Digital/early-careers-framework","DFE-Digital","early-careers-framework"
"DFE-Digital/early-careers-framework-gov-templates","DFE-Digital","early-careers-framework-gov-templates"
"DFE-Digital/early-years-foundation-recovery","DFE-Digital","early-years-foundation-recovery"
"DFE-Digital/early-years-foundation-recovery-UI-test","DFE-Digital","early-years-foundation-recovery-UI-test"
"DFE-Digital/early-years-foundation-reform","DFE-Digital","early-years-foundation-reform"
"DFE-Digital/ecf-bips-release","DFE-Digital","ecf-bips-release"
"DFE-Digital/ecf-bips-team","DFE-Digital","ecf-bips-team"
"DFE-Digital/ecf-dqt-api","DFE-Digital","ecf-dqt-api"
"DFE-Digital/ecf-engage-and-learn","DFE-Digital","ecf-engage-and-learn"
"DFE-Digital/ecf-engage-and-learn-prototype","DFE-Digital","ecf-engage-and-learn-prototype"
"DFE-Digital/ecf-engage-and-learn-redirector-production","DFE-Digital","ecf-engage-and-learn-redirector-production"
"DFE-Digital/ecf-gov-guidance","DFE-Digital","ecf-gov-guidance"
"DFE-Digital/ecf-govspeak","DFE-Digital","ecf-govspeak"
"DFE-Digital/ecf-spikes","DFE-Digital","ecf-spikes"
"DFE-Digital/ecf-wordpress-cf-configuration","DFE-Digital","ecf-wordpress-cf-configuration"
"DFE-Digital/ecf-wordpress-to-markdown","DFE-Digital","ecf-wordpress-to-markdown"
"DFE-Digital/edis-kafka-adapter","DFE-Digital","edis-kafka-adapter"
"DFE-Digital/edis-source-adapter-roatp","DFE-Digital","edis-source-adapter-roatp"
"DFE-Digital/edis-source-adapter-sld","DFE-Digital","edis-source-adapter-sld"
"DFE-Digital/edis-source-adapter-ukrlp","DFE-Digital","edis-source-adapter-ukrlp"
"DFE-Digital/eduk-prototype","DFE-Digital","eduk-prototype"
"DFE-Digital/example-prometheus-nodejs","DFE-Digital","example-prometheus-nodejs"
"DFE-Digital/ey-recovery-prototype","DFE-Digital","ey-recovery-prototype"
"DFE-Digital/ey-recovery-temp","DFE-Digital","ey-recovery-temp"
"DFE-Digital/ey-reform-prototype","DFE-Digital","ey-reform-prototype"
"DFE-Digital/eyfs_platform","DFE-Digital","eyfs_platform"
"DFE-Digital/fa-diary","DFE-Digital","fa-diary"
"DFE-Digital/fa-diary-api-spec","DFE-Digital","fa-diary-api-spec"
"DFE-Digital/fa-diary-home-study","DFE-Digital","fa-diary-home-study"
"DFE-Digital/fa-diary-review-prototype","DFE-Digital","fa-diary-review-prototype"
"DFE-Digital/fa-shortlisting-prototype","DFE-Digital","fa-shortlisting-prototype"
