assessment_id,ciso_priority
f6b59724-4a05-aa38-33e2-25f15eecf00b,3
e71020c2-860c-3235-cd39-04f3f8c936d2,2
160ea888-9210-62b2-2a8e-5f7d8042890f,1
6dfe6f68-f507-4c6d-915b-cda75e243798,1
383cf3bc-fdf9-4a02-120a-3e7e36c6bfee,2
21300918-b2e3-0346-785f-c77ff57d243b,2
22e93e92-4a31-b4cd-d640-3ef908430aa6,1
b78470c8-cf92-1c9d-c08f-cb27b8ec88b7,2
c076bfee-3834-4685-8ab5-17f5207c827e,4
d5d090f1-7d5c-9b38-7344-0ede8343276d,1
35b25be2-d08a-e340-45ed-f08a95d804fc,1
69ad830b-d98c-b1cf-2158-9d69d38c7093,1
1fde2073-a488-17e9-9534-5a3b23379b4b,2
1c5de8e1-f68d-6a17-e0d2-ec259c42768c,1
9b7d740f-c271-4bfd-88fb-515680c33440,2
13b10b36-aa99-4db6-b00c-dcf87c4761e6,3
f738efb8-005f-680d-3d43-b3db762d6243,3
67279c29-fa4c-4f09-ae59-cb1491565995,3
52f7826a-ace7-3107-dd0d-4875853c1576,2
5d19e32c-489d-407c-9549-15d9ea36a8e0,5
e94a7421-fc27-7a4d-e9ba-2ba01384cacd,2
82e20e14-edc5-4373-bfc4-f13121257c37,1
13e7d036-6903-821c-6018-962938929bf0,4
28ca6fb2-f3b0-4494-bcfb-6600b30fec50,4
874b14bd-b49e-495a-88c6-46acb89b0a33,2
74e7dcff-317f-9635-41d2-ead5019acc99,3
6c99f570-2ce7-46bc-8175-cde013df43bc,2
8318c3a1-fcac-2e1d-9582-50912e5578e5,4
bdac9c7b-b9b8-f572-0450-f161c430861c,4
3320d1ac-0ebe-41ab-b96c-96fb91214c5c,3
c3b51c94-588b-426b-a892-24696f9e54cc,2
f6b0e473-eb23-c3be-fe61-2ae3e8309530,4
e2750e59-9a37-4ad5-b584-013932d9682d,3
1aabfa0d-7585-f9f5-1d92-ecb40291d9f2,2
c5b83aed-f53d-5201-8ffb-1f9938de410a,4
14257785-9437-97fa-11ae-898cfb24302b,2
a40cc620-e72c-fdf4-c554-c6ca2cd705c0,2
b20d1b00-11a8-4ce7-b477-4ea6e147c345,3
1b663c6e-6432-4517-9a2b-49f5008e652f,3
45cfe080-ceb1-a91e-9743-71551ed24e94,2
f67fb4ed-d481-44d7-91e5-efadf504f74a,3
54f53ddf-6ebd-461e-a247-394c542bc5d1,4
02fb778d-fd6c-4770-81ca-abec3cf36634,3
c42fc28d-1703-45fc-aaa5-39797f570513,1
ca9b93fe-6f1f-676c-2f31-d20f88fdbe56,4
c476dc48-8110-4139-91af-c8d940896b98,2
1db4f204-cb5a-4c9c-9254-7556403ce51c,1
51fd8bb1-0db4-bbf1-7e2b-cfcba7eb66a6,1
8af8a87b-7aa6-4c83-b22b-36801896177b,3
463fd8bb-7606-4cc9-b2d8-5ed8e02ef22e,2
1195afff-c881-495e-9bc5-1486211ae03f,2
80fac66a-1ec5-b063-a824-eb28671dc527,3
23aa9cbe-c2fb-6a2f-6c97-885a6d48c4d1,2
4a3d7cd3-f17c-637a-1ffc-614a01dd03cf,2
77758c9d-8a56-5f54-6ff7-69a762ca6004,1
4ab6e3c5-74dd-8b35-9ab9-f61b30875b27,1
a9341235-9389-42f0-a0bf-9bfb57960d44,2
75396512-3323-9be4-059d-32ecb113c3de,2
a0cf8572-908d-94c8-93d5-95122af12963,3
cec4922b-1eb3-cb74-660b-ffad9b9ac642,2
706b33f0-129e-4ed0-a179-f450b9ee4145,2
ab153e43-2fb5-0670-2117-70340851ea9b,2
b34f9fe7-80cd-6fb3-2c5b-951993746ca8,2
093c685b-56dd-13a3-8ed5-887a001837a2,2
64b8637e-4e1d-76a9-0fc9-c1e487a97ed8,2
a59cd763-dbb7-4918-a5e5-b933705c8f74,3
55ed2823-a834-42bd-96ec-d3d5c97d9c6b,2
f97aa83c-9b63-4f9a-99f6-b22c4398f936,2
f2f595ec-5dc6-68b4-82ef-b63563e9c610,4
f0553104-cfdb-65e6-759c-002812e38500,2
f1f2f7dc-7bd5-18bf-c403-cbbdb7ec3d68,4
91387f44-7e43-4ecc-55f0-46f5adee3dd5,4
6aa015ac-db09-41bc-93a7-56064957dd9f,1
cdc78c07-02b0-4af0-1cb2-cb7c672a8b0a,2
47bb383c-8e25-95f0-c2aa-437add1d87d3,3
3b363842-30f5-4056-980d-3a40fa5de8b3,2
efbbd784-656d-473a-9863-ea7693bfcd2a,1
